,SiteName,Site_years,Site_fullname,Lat.,Long.,ELV.,PFT,MAT,MAP,Clim.,Site_flag,Delay_status,Period,N,Calib.,Avai.analyzed.years-spring,Avai.site-years-spring,Avai.analyzed.years-springawinter,Avai.site-years-springawinter,Reference,PhenoCam,Cam_Period,Cam_Source,Cam_sitename,Cam_Avai
21,FR-Fon,9.424657534,Fontainebleau-Barbeau,48.4764,2.7801,103,DBF,10.2,720,Cfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,FR-LBr,10.50958904,Le Bray,44.7171,-0.7693,61,ENF,13.6,900,Cfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,IT-Col,13.31506849,Collelongo,41.8494,13.5881,1560,DBF,6.3,1180,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,IT-Lav,11.67945205,Lavarone,45.9562,11.2813,1353,ENF,7.8,1291,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,IT-MBo,10.85479452,Monte Bondone,46.0147,11.0458,1550,GRA,5.1,1214,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,JP-SMF,3.920547945,Seto Mixed Forest Site,35.2617,137.0788,NA,MF,NA,NA,Cfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,RU-Fyo,15.46575342,Fyodorovskoye,56.4615,32.9221,265,ENF,3.9,711,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,US-AR1,3.38630137,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,611,GRA,NA,NA,Cfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,US-AR2,3.106849315,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,646,GRA,NA,NA,Cfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,US-GLE,9.293150685,GLEES,41.3665,-106.2399,3197,ENF,0.8,1200,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,US-Goo,4.076712329,Goodwin Creek,34.2547,-89.8735,87,GRA,15.89,1425.77,Cfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,US-Ha1,20.11506849,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,340,DBF,6.62,1071,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,US-IB2,7.142465753,Fermi National Accelerator Laboratory- Batavia (Prairie site),41.8406,-88.241,226.5,GRA,9.04,930.25,Dfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,US-MMS,15.61917808,Morgan Monroe State Forest,39.3232,-86.4131,275,DBF,10.85,1032,Dfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,US-NR1,15.62739726,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,3050,ENF,1.5,800,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
